Algonquin,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Alcoholic,Cocktail glass,"Blended whiskey,Dry Vermouth,Pineapple juice",https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg
Allegheny,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Alcoholic,Cocktail glass,"Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel",https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg
B-52,Layer ingredients into a shot glass. Serve with a stirrer.,Alcoholic,Shot glass,"Baileys irish cream,Grand Marnier,Kahlua",https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg
B-53,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",Alcoholic,Collins Glass,"Kahlua,Sambuca,Grand Marnier",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg
Bijou,"Stir in mixing glass with ice and strain
",Alcoholic,Cocktail glass,"Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg
Boxcar,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Alcoholic,Whiskey sour glass,"Gin,Triple sec,Lemon juice,Grenadine,Egg white",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg
Big Red,Pour ingredients into 1 ounce shot glass,Alcoholic,Shot glass,"Irish cream,Goldschlager",https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg
Bellini,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",Alcoholic,Champagne Flute,"Champagne,Peach schnapps",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg
Bramble,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Alcoholic,Old-Fashioned glass,"Gin,lemon juice,Sugar syrup,Creme de Mure",https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg
Balmoral,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Alcoholic,Cocktail glass,"Scotch,Sweet Vermouth,Dry Vermouth,Bitters",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg
Bluebird,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",Alcoholic,Cocktail glass,"Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg
Brooklyn,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,Alcoholic,Cocktail glass,"Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry",https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg
Bora Bora,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",Non alcoholic,Highball glass,"Pineapple juice,Passion fruit juice,Lemon juice,Grenadine",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg
